Date,Time,Temperature,Humidity,Light
"04/10/2022, 14:28:13",27.7,40.0,802
"04/10/2022, 14:28:18",27.5,40.0,799
"04/10/2022, 14:28:23",27.39,40.0,801
"04/10/2022, 14:28:28",28.0,41.0,800
"04/10/2022, 14:28:33",27.39,40.0,803
"04/10/2022, 14:28:38",27.89,40.0,800
"04/10/2022, 14:28:43",27.7,40.0,798
"04/10/2022, 14:28:48",27.39,40.0,802
"04/10/2022, 14:28:53",27.29,40.0,730
"04/10/2022, 14:29:06",27.6,40.0,801
"04/10/2022, 14:29:07",27.6,40.0,801
"04/10/2022, 14:29:08",27.2,40.0,783
"04/10/2022, 14:29:10",27.2,40.0,779
"04/10/2022, 14:29:11",27.39,40.0,780
"04/10/2022, 14:29:12",27.39,40.0,792
"04/10/2022, 14:29:13",27.6,40.0,788
"04/10/2022, 14:29:14",27.6,40.0,791
